,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Lukulu,0,ZM,1553362099,35,-14.38,23.24,82.12,9.78
1,Kapaa,75,US,1553362093,78,22.08,-159.32,71.6,21.92
2,Chuy,20,UY,1553361874,83,-33.69,-53.46,74.92,7.31
3,Pevek,0,RU,1553362102,35,69.7,170.27,-23.64,3.4
4,Hermanus,64,ZA,1553361424,80,-34.42,19.24,75.99,5.01
5,Touros,40,BR,1553360400,74,-5.2,-35.46,86.0,6.93
6,Busselton,8,AU,1553361765,48,-33.64,115.35,52.0,13.24
7,Punta Arenas,20,CL,1553361799,71,-53.16,-70.91,55.4,10.29
8,Airai,32,TL,1553361919,88,-8.93,125.41,70.24,1.61
9,Jais,0,IN,1553362109,36,26.27,81.55,71.41,8.99
10,Kodiak,75,US,1553362101,29,39.95,-94.76,52.0,16.11
11,Mataura,64,NZ,1553361606,91,-46.19,168.86,55.99,2.73
12,Nikolskoye,75,RU,1553361935,80,59.7,30.79,39.2,8.95
13,Thurso,68,GB,1553361915,70,58.6,-3.52,44.6,14.99
14,Quatre Cocos,75,MU,1553361839,88,-20.21,57.76,80.6,8.05
15,Yulara,56,AU,1553360400,32,-25.24,130.99,82.4,12.75
16,Bambous Virieux,75,MU,1553361540,88,-20.34,57.76,80.6,8.05
17,Los Llanos de Aridane,75,ES,1553361603,55,28.66,-17.92,66.2,17.22
18,Ushuaia,20,AR,1553360400,81,-54.81,-68.31,53.6,3.36
19,Longyan,92,CN,1553362120,99,25.1,117.03,53.41,1.5
20,Teguise,20,ES,1553360400,60,29.06,-13.56,68.0,23.04
21,Thompson,20,CA,1553360400,57,55.74,-97.86,17.6,21.92
22,Rikitea,32,PF,1553362124,98,-23.12,-134.97,79.33,18.95
23,Halmaj,0,HU,1553360400,28,48.25,21.0,57.2,1.12
24,Vaini,0,IN,1553362126,85,15.34,74.49,69.97,3.06
25,Hofn,92,IS,1553362127,100,64.25,-15.21,37.48,9.22
26,Khatanga,0,RU,1553361608,48,71.98,102.47,-16.44,3.18
27,Sur,12,OM,1553362122,84,22.57,59.53,75.64,6.76
28,Jamestown,92,AU,1553362131,93,-33.21,138.6,63.22,7.76
29,Maniitsoq,56,GL,1553361652,99,65.42,-52.9,5.26,14.7
30,Aktau,0,KZ,1553360400,80,43.65,51.16,41.0,6.71
31,Tacoronte,75,ES,1553361905,82,28.48,-16.41,69.8,17.22
32,Hithadhoo,68,MV,1553361769,100,-0.6,73.08,86.89,7.31
33,Baiquan,64,CN,1553362138,47,47.61,126.08,23.8,12.35
34,East London,0,ZA,1553360400,78,-33.02,27.91,75.2,13.87
35,Zhoucheng,0,CN,1553360400,87,31.35,119.33,42.8,6.71
36,Faya,40,SA,1553356800,68,18.39,42.45,68.0,10.29
37,Barreiras,92,BR,1553362142,85,-12.14,-45.0,79.78,4.29
38,La Ceiba,0,CR,1553361595,39,9.9,-84.6,84.0,17.22
39,Codrington,12,AU,1553361692,88,-28.95,153.24,73.4,4.97
40,Butaritari,68,KI,1553361614,100,3.07,172.79,81.4,8.99
41,Richards Bay,48,ZA,1553361751,93,-28.77,32.06,72.04,7.65
42,Comodoro Rivadavia,90,AR,1553360400,82,-45.87,-67.48,55.4,9.17
43,Nabire,68,ID,1553362065,96,-3.36,135.5,69.07,1.39
44,Mar del Plata,56,AR,1553362150,72,-46.43,-67.52,58.45,14.47
45,Yar-Sale,76,RU,1553361647,91,66.83,70.83,21.37,7.65
46,Swellendam,64,ZA,1553360400,83,-34.02,20.44,71.6,8.05
47,Mackenzie,90,CA,1553360400,65,55.34,-123.09,41.0,4.7
48,Gualaquiza,76,EC,1553362155,77,-3.4,-78.58,71.77,1.61
49,Grand Gaube,75,MU,1553362140,88,-20.01,57.66,80.6,8.05
50,Hilo,40,US,1553361916,88,19.71,-155.08,66.99,6.93
51,Ketchikan,90,US,1553360160,93,55.34,-131.65,46.4,23.04
52,Capela,40,BR,1553360400,55,-9.42,-36.08,91.4,16.11
53,Bautzen,0,DE,1553362102,76,51.18,14.43,61.0,12.75
54,Mount Gambier,90,AU,1553360400,100,-37.83,140.78,59.0,6.93
55,Mackay,1,CA,1553360400,64,53.65,-115.58,39.2,4.7
